Date,Predicted,RegimeCode
2017-03-20,33.09025,1
2017-03-21,33.250042,1
2017-03-22,33.13137,1
2017-03-23,33.258812,1
2017-03-24,33.27039,1
2017-03-27,33.232872,1
2017-03-28,33.242836,1
2017-03-29,33.620525,1
2017-03-30,33.85946,1
2017-03-31,33.936867,1
2017-04-03,33.928146,1
2017-04-04,33.92387,1
2017-04-05,34.05801,1
2017-04-06,34.034153,1
2017-04-07,33.967457,1
2017-04-10,33.89347,1
2017-04-11,33.83737,1
2017-04-12,33.61755,1
2017-04-13,33.5269,1
2017-04-17,33.39829,1
2017-04-18,33.435093,1
2017-04-19,33.38281,1
2017-04-20,33.286823,1
2017-04-21,33.462456,1
2017-04-24,33.53953,1
2017-04-25,33.74223,1
2017-04-26,33.95674,1
2017-04-27,33.94899,1
2017-04-28,33.945095,1
2017-05-01,33.92601,1
2017-05-02,34.287617,1
2017-05-03,34.597305,1
2017-05-04,34.68015,1
2017-05-05,34.63681,1
2017-05-08,34.916794,1
2017-05-09,35.580494,1
2017-05-10,36.036366,1
2017-05-11,36.14134,1
2017-05-12,36.33557,1
2017-05-15,36.705204,1
2017-05-16,36.836994,1
2017-05-17,36.85379,1
2017-05-18,36.19057,1
2017-05-19,36.13207,1
2017-05-22,36.210598,1
2017-05-23,36.374084,1
2017-05-24,36.430805,1
2017-05-25,36.39146,1
2017-05-26,36.43447,1
2017-05-30,36.426613,1
2017-05-31,36.427353,1
2017-06-01,36.312515,1
2017-06-02,36.30547,1
2017-06-05,36.59798,1
2017-06-06,36.559055,1
2017-06-07,36.5858,1
2017-06-08,36.719498,1
2017-06-09,36.739906,1
2017-06-12,35.97752,1
2017-06-13,35.121964,1
2017-06-14,34.86953,1
2017-06-15,34.60973,1
2017-06-16,34.37795,1
2017-06-19,34.014984,1
2017-06-20,34.355835,1
2017-06-21,34.389023,1
2017-06-22,34.49329,1
2017-06-23,34.515152,1
2017-06-26,34.602436,1
2017-06-27,34.588417,1
2017-06-28,34.309513,1
2017-06-29,34.430725,1
2017-06-30,34.239117,1
2017-07-03,34.17357,1
2017-07-05,34.085213,1
2017-07-06,34.117874,1
2017-07-07,33.967648,1
2017-07-10,34.070747,1
2017-07-11,34.24659,1
2017-07-12,34.39223,1
2017-07-13,34.48423,1
2017-07-14,34.78156,1
2017-07-17,35.093895,1
2017-07-18,35.305504,1
2017-07-19,35.46317,1
2017-07-20,35.65246,1
2017-07-21,35.655823,1
