Date,Predicted,Regime
2017-03-09,32.86198,Bull
2017-03-10,32.79062,Bull
2017-03-13,32.81511,Bull
2017-03-14,32.840313,Bull
2017-03-15,32.82542,Bull
2017-03-16,33.00219,Bull
2017-03-17,33.125435,Bull
2017-03-20,33.09025,Bull
2017-03-21,33.250042,Bull
2017-03-22,33.13137,Bull
2017-03-23,33.258812,Bull
2017-03-24,33.27039,Bull
2017-03-27,33.232872,Bull
2017-03-28,33.242836,Bull
2017-03-29,33.620525,Bull
2017-03-30,33.85946,Bull
2017-03-31,33.936867,Bull
2017-04-03,33.928146,Bull
2017-04-04,33.92387,Bull
2017-04-05,34.05801,Bull
2017-04-06,34.034153,Bull
2017-04-07,33.967457,Bull
2017-04-10,33.89347,Bull
2017-04-11,33.83737,Bull
2017-04-12,33.61755,Bull
2017-04-13,33.5269,Bull
2017-04-17,33.39829,Bull
2017-04-18,33.435093,Bull
2017-04-19,33.38281,Bull
2017-04-20,33.286823,Bull
2017-04-21,33.462456,Bull
2017-04-24,33.53953,Bull
2017-04-25,33.74223,Bull
2017-04-26,33.95674,Bull
2017-04-27,33.94899,Bull
2017-04-28,33.945095,Bull
2017-05-01,33.92601,Bull
2017-05-02,34.287617,Bull
2017-05-03,34.597305,Bull
2017-05-04,34.68015,Bull
2017-05-05,34.63681,Bull
2017-05-08,34.916794,Bull
2017-05-09,35.580494,Bull
2017-05-10,36.036366,Bull
2017-05-11,36.14134,Bull
2017-05-12,36.33557,Bull
2017-05-15,36.705204,Bull
2017-05-16,36.836994,Bull
2017-05-17,36.85379,Bull
2017-05-18,36.19057,Bull
2017-05-19,36.13207,Bull
2017-05-22,36.210598,Bull
2017-05-23,36.374084,Bull
2017-05-24,36.430805,Bull
2017-05-25,36.39146,Bull
2017-05-26,36.43447,Bull
2017-05-30,36.426613,Bull
2017-05-31,36.427353,Bull
2017-06-01,36.312515,Bull
2017-06-02,36.30547,Bull
2017-06-05,36.59798,Bull
2017-06-06,36.559055,Bull
2017-06-07,36.5858,Bull
2017-06-08,36.719498,Bull
2017-06-09,36.739906,Bull
2017-06-12,35.97752,Bull
2017-06-13,35.121964,Bull
2017-06-14,34.86953,Bull
2017-06-15,34.60973,Bull
2017-06-16,34.37795,Bull
2017-06-19,34.014984,Bull
2017-06-20,34.355835,Bull
2017-06-21,34.389023,Bull
2017-06-22,34.49329,Bull
2017-06-23,34.515152,Bull
2017-06-26,34.602436,Bull
2017-06-27,34.588417,Bull
2017-06-28,34.309513,Bull
2017-06-29,34.430725,Bull
2017-06-30,34.239117,Bull
2017-07-03,34.17357,Bull
2017-07-05,34.085213,Bull
2017-07-06,34.117874,Bull
2017-07-07,33.967648,Bull
2017-07-10,34.070747,Bull
2017-07-11,34.24659,Bull
2017-07-12,34.39223,Bull
2017-07-13,34.48423,Bull
2017-07-14,34.78156,Bull
2017-07-17,35.093895,Bull
2017-07-18,35.305504,Bull
2017-07-19,35.46317,Bull
2017-07-20,35.65246,Bull
2017-07-21,35.655823,Bull
2017-07-24,35.636852,Bull
2017-07-25,35.858555,Bull
2017-07-26,36.059525,Bull
2017-07-27,36.242855,Bull
2017-07-28,35.957676,Bull
2017-07-31,35.66108,Bull
2017-08-01,35.425613,Bull
2017-08-02,35.48882,Bull
2017-08-03,36.43925,Bull
2017-08-04,36.73574,Bull
2017-08-07,36.934643,Bull
2017-08-08,37.32829,Bull
2017-08-09,37.68471,Bull
2017-08-10,37.97211,Bull
2017-08-11,37.448307,Bull
2017-08-14,37.430473,Bull
2017-08-15,37.75816,Bull
2017-08-16,38.155632,Bull
2017-08-17,38.26083,Bull
2017-08-18,37.89607,Bull
2017-08-21,37.65156,Bull
2017-08-22,37.509636,Bull
2017-08-23,37.779068,Bull
2017-08-24,37.95557,Bull
2017-08-25,37.940273,Bull
2017-08-28,37.99612,Bull
2017-08-29,38.232185,Bull
2017-08-30,38.536846,Bull
2017-08-31,38.738277,Bull
2017-09-01,38.90785,Bull
2017-09-05,38.99076,Bull
2017-09-06,38.772182,Bull
2017-09-07,38.630417,Bull
2017-09-08,38.48718,Bull
2017-09-11,38.08519,Bull
2017-09-12,38.24938,Sideways
2017-09-13,38.27991,Bull
2017-09-14,38.130608,Bull
2017-09-15,37.87487,Sideways
2017-09-18,37.954094,Sideways
2017-09-19,37.857628,Sideways
2017-09-20,37.8092,Sideways
2017-09-21,37.45003,Sideways
2017-09-22,36.921635,Bear
2017-09-25,36.474884,Bear
2017-09-26,36.10237,Bear
2017-09-27,36.265423,Bear
2017-09-28,36.513992,Bear
2017-09-29,36.51239,Bear
2017-10-02,36.6023,Bear
2017-10-03,36.609913,Bear
2017-10-04,36.6936,Bear
2017-10-05,36.609447,Bear
2017-10-06,36.80371,Bear
2017-10-09,36.899994,Bear
2017-10-10,37.007164,Bear
2017-10-11,37.065117,Bear
2017-10-12,37.171856,Bear
2017-10-13,37.154213,Bear
2017-10-16,37.264637,Bear
2017-10-17,37.693184,Bear
2017-10-18,37.987156,Sideways
2017-10-19,38.023724,Sideways
2017-10-20,37.541473,Sideways
2017-10-23,37.32009,Bear
2017-10-24,37.224762,Bear
2017-10-25,37.30774,Bear
2017-10-26,37.269356,Bear
2017-10-27,37.37133,Bear
2017-10-30,38.14769,Bear
2017-10-31,39.018456,Bear
2017-11-01,39.72301,Bear
2017-11-02,39.763332,Sideways
2017-11-03,39.895615,Sideways
2017-11-06,40.524242,Sideways
2017-11-07,41.070873,Sideways
2017-11-08,41.39022,Sideways
2017-11-09,41.706394,Sideways
2017-11-10,41.80699,Sideways
2017-11-13,41.76601,Sideways
2017-11-14,41.649002,Sideways
2017-11-15,41.253605,Sideways
2017-11-16,40.763863,Sideways
2017-11-17,40.790783,Bear
2017-11-20,40.714718,Bear
2017-11-21,40.650894,Bear
2017-11-22,41.026924,Bear
2017-11-24,41.461906,Bear
2017-11-27,41.66761,Sideways
2017-11-28,41.634987,Sideways
2017-11-29,41.474033,Sideways
2017-11-30,40.931625,Sideways
2017-12-01,40.96066,Bear
2017-12-04,40.90849,Bear
2017-12-05,40.718826,Bear
2017-12-06,40.601677,Bear
2017-12-07,40.471302,Bear
2017-12-08,40.449768,Bear
2017-12-11,40.453022,Bear
2017-12-12,40.878864,Sideways
2017-12-13,40.978203,Bull
2017-12-14,41.075966,Bull
2017-12-15,41.114643,Bull
2017-12-18,41.353172,Bull
2017-12-19,41.790417,Bull
2017-12-20,41.76431,Bull
2017-12-21,41.69829,Bull
2017-12-22,41.75019,Bull
2017-12-26,41.782074,Bull
2017-12-27,41.22664,Bull
2017-12-28,40.93635,Bull
2017-12-29,40.88102,Bull
2018-01-02,40.633358,Bull
2018-01-03,40.894703,Bull
2018-01-04,41.044,Bull
2018-01-05,41.207928,Bull
2018-01-08,41.536884,Bull
2018-01-09,41.61604,Bull
2018-01-10,41.63402,Bull
2018-01-11,41.633476,Bull
2018-01-12,41.75919,Bull
2018-01-16,42.05759,Bull
2018-01-17,42.091297,Bull
2018-01-18,42.46297,Bull
2018-01-19,42.677067,Bull
2018-01-22,42.663456,Bull
2018-01-23,42.455708,Bull
2018-01-24,42.352776,Bull
2018-01-25,41.95086,Bull
2018-01-26,41.34757,Bull
2018-01-29,41.10731,Sideways
2018-01-30,40.564552,Sideways
2018-01-31,40.1671,Sideways
2018-02-01,40.05134,Sideways
2018-02-02,40.060246,Bear
2018-02-05,39.138554,Bear
2018-02-06,38.13827,Bear
2018-02-07,38.508907,Sideways
2018-02-08,38.32054,Sideways
2018-02-09,37.633842,Sideways
2018-02-12,37.52693,Sideways
2018-02-13,38.325153,Sideways
2018-02-14,38.96142,Sideways
2018-02-15,39.634216,Sideways
2018-02-16,40.670418,Sideways
2018-02-20,41.100487,Bear
2018-02-21,41.18598,Bear
2018-02-22,41.10383,Bear
2018-02-23,41.24023,Bear
2018-02-26,41.70431,Bear
2018-02-27,42.386936,Bear
2018-02-28,42.641983,Bear
2018-03-01,42.697964,Bear
2018-03-02,42.310112,Bear
2018-03-05,42.258896,Bear
2018-03-06,42.336006,Bear
2018-03-07,42.360855,Bear
2018-03-08,42.15799,Bear
2018-03-09,42.29553,Bear
2018-03-12,42.772213,Bear
2018-03-13,43.238018,Bear
2018-03-14,43.22711,Sideways
2018-03-15,42.99466,Sideways
2018-03-16,42.900505,Bear
2018-03-19,42.78523,Bear
2018-03-20,42.38081,Bear
2018-03-21,42.16783,Bear
2018-03-22,41.570847,Bear
2018-03-23,40.95882,Bear
2018-03-26,40.171703,Bear
2018-03-27,40.80412,Bear
2018-03-28,40.61679,Bear
2018-03-29,40.23721,Bear
2018-04-02,40.21623,Bear
2018-04-03,40.087666,Bear
2018-04-04,40.241047,Bear
2018-04-05,40.74412,Bear
2018-04-06,41.15182,Bear
2018-04-09,40.76491,Bear
2018-04-10,40.750084,Bear
2018-04-11,41.17936,Bear
2018-04-12,41.30214,Bear
2018-04-13,41.557987,Bear
2018-04-16,41.76081,Bear
2018-04-17,41.991573,Bear
2018-04-18,42.411694,Bear
2018-04-19,42.5667,Sideways
2018-04-20,41.97294,Bear
2018-04-23,40.73988,Bear
2018-04-24,40.067997,Bear
2018-04-25,39.497982,Bear
2018-04-26,39.332214,Bear
2018-04-27,39.35424,Bear
2018-04-30,39.131004,Bear
2018-05-01,39.38955,Sideways
2018-05-02,40.03354,Bear
2018-05-03,41.316666,Sideways
2018-05-04,41.991203,Bear
2018-05-07,43.15669,Bear
2018-05-08,43.898155,Bear
2018-05-09,44.32866,Bear
2018-05-10,44.677288,Bear
2018-05-11,45.179295,Bear
2018-05-14,45.329216,Bear
2018-05-15,45.32013,Bear
2018-05-16,45.085896,Bear
2018-05-17,45.188984,Bear
2018-05-18,45.10516,Bear
2018-05-21,44.966953,Bear
2018-05-22,45.070408,Bear
2018-05-23,45.07307,Bear
2018-05-24,45.222836,Bear
2018-05-25,45.27429,Bear
2018-05-29,45.347256,Bear
2018-05-30,45.294533,Bear
2018-05-31,45.21054,Bear
2018-06-01,45.088467,Bear
2018-06-04,45.46513,Bear
2018-06-05,45.876442,Bear
2018-06-06,46.259636,Bear
2018-06-07,46.521282,Bear
2018-06-08,46.567295,Sideways
2018-06-11,46.347725,Sideways
2018-06-12,46.169125,Sideways
2018-06-13,46.2254,Sideways
2018-06-14,46.062595,Sideways
2018-06-15,45.986355,Bear
2018-06-18,45.70353,Bear
2018-06-19,45.546738,Bear
2018-06-20,45.088333,Bear
2018-06-21,44.961807,Bear
2018-06-22,44.790127,Bear
2018-06-25,44.63783,Bear
2018-06-26,44.21309,Bear
2018-06-27,44.29108,Bear
2018-06-28,44.324154,Bear
2018-06-29,44.509212,Bear
2018-07-02,44.55366,Bear
2018-07-03,44.83231,Bear
2018-07-05,44.55475,Bear
2018-07-06,44.582073,Bear
2018-07-09,44.94643,Bear
2018-07-10,45.473522,Bear
2018-07-11,45.697556,Bear
2018-07-12,45.4625,Bear
2018-07-13,45.731796,Bear
2018-07-16,45.927696,Bear
2018-07-17,45.959446,Bear
2018-07-18,46.033577,Bear
2018-07-19,45.935165,Bear
2018-07-20,46.070114,Bear
2018-07-23,46.090767,Bear
2018-07-24,46.115044,Bear
2018-07-25,46.30616,Bear
2018-07-26,46.6403,Bear
2018-07-27,46.724968,Bear
2018-07-30,46.330864,Bear
2018-07-31,45.980286,Bear
2018-08-01,45.870636,Sideways
2018-08-02,47.283733,Sideways
2018-08-03,48.794373,Bull
2018-08-06,49.574814,Bull
2018-08-07,50.027756,Bull
2018-08-08,49.96352,Bull
2018-08-09,49.92019,Bull
2018-08-10,50.113476,Bull
2018-08-13,50.138515,Bull
2018-08-14,50.3137,Bull
2018-08-15,50.51874,Bull
2018-08-16,50.67913,Bull
2018-08-17,51.149784,Bull
2018-08-20,51.93924,Bull
2018-08-21,52.049297,Bull
2018-08-22,52.002495,Bull
2018-08-23,51.972855,Bull
2018-08-24,52.018005,Bull
2018-08-27,52.130985,Bull
2018-08-28,52.4185,Bull
2018-08-29,52.79061,Bull
2018-08-30,53.392925,Bull
2018-08-31,53.951347,Bull
2018-09-04,54.543335,Bull
2018-09-05,54.913578,Bull
2018-09-06,54.87772,Bull
2018-09-07,54.3475,Bull
2018-09-10,53.83901,Bull
2018-09-11,53.221725,Bull
2018-09-12,53.645813,Bull
2018-09-13,53.54763,Bull
2018-09-14,54.160522,Bull
2018-09-17,54.155235,Bull
2018-09-18,53.340565,Bull
2018-09-19,52.959843,Bull
2018-09-20,52.829082,Bull
2018-09-21,52.999786,Bull
2018-09-24,52.790264,Bull
2018-09-25,53.074516,Bull
2018-09-26,53.418346,Bull
2018-09-27,53.351048,Bull
2018-09-28,53.880714,Bull
2018-10-01,54.26564,Bull
2018-10-02,54.630985,Bull
2018-10-03,55.06027,Bull
2018-10-04,55.62429,Bull
2018-10-05,55.36475,Bull
2018-10-08,54.71356,Bull
2018-10-09,54.32165,Bull
2018-10-10,54.55986,Bull
2018-10-11,53.34803,Bull
2018-10-12,52.448647,Bull
2018-10-15,53.04645,Bull
2018-10-16,52.801823,Bull
2018-10-17,53.254906,Bull
2018-10-18,53.383404,Bull
2018-10-19,52.751293,Bull
2018-10-22,52.83732,Bull
2018-10-23,53.096664,Bull
2018-10-24,53.496773,Bull
2018-10-25,52.699913,Bull
2018-10-26,52.86622,Bull
2018-10-29,52.55113,Bull
2018-10-30,51.84869,Bull
2018-10-31,51.637196,Bull
2018-11-01,52.291527,Bull
2018-11-02,53.083775,Bull
2018-11-05,51.546894,Bull
2018-11-06,49.92522,Bull
2018-11-07,49.454536,Bear
2018-11-08,50.112034,Bear
2018-11-09,50.39181,Bear
2018-11-12,49.97249,Bear
2018-11-13,48.393585,Bear
2018-11-14,47.33801,Bear
2018-11-15,46.17783,Sideways
2018-11-16,46.234528,Sideways
2018-11-19,46.61339,Sideways
2018-11-20,45.809555,Sideways
