,Predicted,RegimeCode,Actual_Price,error,rolling_error
0,22.80506,0,22.30396270751953,0.5010972924804697,0.37044994597516834
1,22.70748,0,22.23072624206543,0.47675375793457064,0.40762635757882343
2,22.630375,0,22.32456016540528,0.30581483459472025,0.4237910808454239
3,22.647144,0,21.816505432128903,0.8306385678710981,0.49916368736049116
4,22.383877,0,21.76387405395508,0.6200029460449166,0.5631338072335375
5,22.215021,0,21.94924545288086,0.26577554711914075,0.5354884634486601
6,22.24396,0,21.86685371398925,0.3771062860107506,0.48245560457938097
7,22.225119,0,21.992721557617188,0.2323974423828119,0.44406991170828697
8,22.281715,0,21.37482452392578,0.9068904760742171,0.505518014299665
9,21.975712,0,21.06358337402344,0.9121286259765604,0.5921342702113565
10,21.640688,0,21.418302536010746,0.22238546398925507,0.5052409696568075
11,21.677046,0,21.603673934936523,0.07337206506347727,0.42715084380231616
12,21.818953,0,21.878292083740234,0.05933908374023389,0.39765992046247234
13,22.040981,0,21.94466781616211,0.09631318383788923,0.35754662015206357
14,22.184902,0,21.73869514465332,0.4462068553466807,0.3880908220040448
15,22.133984,0,21.862276077270508,0.27170792272949384,0.2973504572405129
16,22.165142,0,21.95610618591309,0.20903581408690997,0.19690862697056286
17,22.23616,0,22.125459671020508,0.11070032897949389,0.18095360768345412
18,22.364069,0,22.194116592407227,0.16995240759277408,0.19475079947335366
19,22.464489,0,22.29481506347656,0.16967393652344143,0.21051292129952617
20,22.564177,0,22.16894149780273,0.39523550219727,0.25321610963658053
21,22.54174,0,22.60833740234375,0.06659740234374922,0.1989861877790189
22,22.763159,0,22.60605239868164,0.15710660131836107,0.18261457043457138
23,22.880371,0,22.846343994140625,0.03402700585937524,0.15761331211635213
24,23.059004,0,22.85549545288086,0.20350854711914224,0.17087162899344474
25,23.150806,0,22.876096725463867,0.27470927453613214,0.18583689569963877
26,23.199068,0,22.754806518554688,0.44426148144531297,0.2250636878313347
27,23.152657,0,22.578584671020508,0.5740723289794936,0.2506118059430809
28,23.029163,0,22.276500701904297,0.7526622980957036,0.3486210767647887
29,22.802488,0,22.123167037963867,0.6793209620361331,0.423223128295899
30,22.60741,0,23.560365676879883,0.9529556768798813,0.5544986527273998
31,23.3029,0,23.87846565246582,0.5755656524658193,0.6076496677769251
32,23.85599,0,23.84871864318848,0.007271356811518359,0.5694442509591232
33,24.086294,0,24.269811630249023,0.18351763024902468,0.5321951293596534
34,24.401571,0,23.91050910949707,0.49106189050293025,0.5203364952915729
35,24.35735,0,24.21030616760254,0.14704383239746122,0.43381957162039547
36,24.477491,0,24.359861373901367,0.11762962609863337,0.3535779522007526
37,24.62581,0,24.730314254760746,0.10450425476074443,0.2323706061837331
38,24.898703,0,24.935096740722656,0.03639374072265511,0.15534604736328106
39,25.145052,0,25.036333084106445,0.10871891589355442,0.16983855580357193
40,25.31281,0,24.849964141845703,0.4628458581542958,0.2097425883614678
41,25.284004,0,24.83385467529297,0.45014932470703073,0.20389793610491072
42,25.249493,0,24.89137840270996,0.35811459729004014,0.2340509025181363
43,25.26488,0,25.19050407409668,0.07437592590332187,0.22787180249023464
44,25.438644,0,25.1674861907959,0.2711578092041016,0.25167945312499995
45,25.516941,0,25.130674362182617,0.386266637817382,0.3016612955671038
46,25.527023,0,25.098464965820312,0.4285580341796873,0.3473525981794085
47,25.509819,0,25.16288375854492,0.3469352414550819,0.33079393865094936
48,25.535368,0,24.967309951782227,0.5680580482177717,0.34763804200962667
49,25.44343,0,25.0455379486084,0.3978920513916009,0.35332053545270675
50,25.436024,0,24.85686683654785,0.5791571634521482,0.4254321408168248
51,25.335257,0,24.751022338867188,0.5842346611328111,0.470157405378069
52,25.224874,0,24.60606575012207,0.6188082498779295,0.503377635672433
53,25.094122,0,24.578453063964844,0.515668936035155,0.515822050223214
54,25.0172,0,24.3897762298584,0.6274237701416006,0.5558918400355738
55,24.882122,0,24.412792205810547,0.4693297941894521,0.5417878037458139
56,24.82827,0,24.557741165161133,0.270528834838867,0.5235930585239947
57,24.88751,0,24.78783798217773,0.09967201782226809,0.45509518057686904
58,25.047573,0,24.78093147277832,0.26664152722167955,0.40972473287527883
59,25.124235,0,24.93279457092285,0.1914404290771472,0.34867218704659564
60,25.236994,0,24.27933692932129,0.9576570706787102,0.4118133491385321
61,24.935135,0,23.72941780090332,1.2057171990966786,0.4944266961321147
62,24.468754,0,24.26092529296875,0.20782870703125056,0.4570693979666573
63,24.532217,0,24.838457107543945,0.30624010754394604,0.46217100835309716
64,24.910908,0,25.717405319213867,0.806497319213868,0.5631460514090401
65,25.585722,0,26.591760635375977,1.006038635375976,0.6687742097167967
66,26.39374,0,26.442201614379883,0.04846161437988172,0.6483486647600445
67,26.694532,0,26.13387107849121,0.5606609215087879,0.5916349291643412
68,26.632868,0,26.131576538085938,0.5012914619140609,0.4910026809953959
69,26.58018,0,26.12697410583496,0.45320589416503765,0.5260565648716512
70,26.554598,0,26.37317276000977,0.18142523999022941,0.5082258695068346
71,26.679388,0,25.933692932128903,0.7456950678710967,0.49953983360072435
72,26.5076,0,25.97281074523925,0.5347892547607493,0.4322184935128348
73,26.430494,0,26.02113151550293,0.4093624844970698,0.4837757606724331
74,26.427502,0,26.219009399414062,0.208492600585938,0.4334660005405974
75,26.53892,0,25.81174659729004,0.7271734027099619,0.4657348492257261
76,26.375774,0,26.011926651000977,0.36384734899902327,0.45296934277343837
77,26.391642,0,25.889970779418945,0.5016712205810556,0.4987187685721278
78,26.344076,0,26.00042724609375,0.34364875390625116,0.4412835808628642
