Date,Predicted,RegimeCode,Actual_Price
2016-06-06,22.788239,0,22.571720123291016
2016-06-07,22.855927,0,22.663265228271484
2016-06-08,22.9457,0,22.64266967773437
2016-06-09,22.977365,0,22.805152893066406
2016-06-10,23.076778,0,22.61748504638672
2016-06-13,23.024837,0,22.276500701904297
2016-06-14,22.80506,0,22.30396270751953
2016-06-15,22.70748,0,22.23072624206543
2016-06-16,22.630375,0,22.324560165405277
2016-06-17,22.647144,0,21.816505432128903
2016-06-20,22.383877,0,21.76387405395508
2016-06-21,22.215021,0,21.94924545288086
2016-06-22,22.24396,0,21.866853713989254
2016-06-23,22.225119,0,21.992721557617188
2016-06-24,22.281715,0,21.37482452392578
2016-06-27,21.975712,0,21.06358337402344
2016-06-28,21.640688,0,21.418302536010746
2016-06-29,21.677046,0,21.603673934936523
2016-06-30,21.818953,0,21.878292083740234
2016-07-01,22.040981,0,21.94466781616211
2016-07-05,22.184902,0,21.73869514465332
2016-07-06,22.133984,0,21.862276077270508
2016-07-07,22.165142,0,21.95610618591309
2016-07-08,22.23616,0,22.125459671020508
2016-07-11,22.364069,0,22.194116592407227
2016-07-12,22.464489,0,22.29481506347656
2016-07-13,22.564177,0,22.16894149780273
2016-07-14,22.54174,0,22.60833740234375
2016-07-15,22.763159,0,22.60605239868164
2016-07-18,22.880371,0,22.846343994140625
2016-07-19,23.059004,0,22.85549545288086
2016-07-20,23.150806,0,22.876096725463867
2016-07-21,23.199068,0,22.754806518554688
2016-07-22,23.152657,0,22.578584671020508
2016-07-25,23.029163,0,22.276500701904297
2016-07-26,22.802488,0,22.123167037963867
2016-07-27,22.60741,0,23.560365676879883
2016-07-28,23.3029,0,23.87846565246582
2016-07-29,23.85599,0,23.84871864318848
2016-08-01,24.086294,0,24.269811630249023
2016-08-02,24.401571,0,23.91050910949707
2016-08-03,24.35735,0,24.21030616760254
2016-08-04,24.477491,0,24.359861373901367
2016-08-05,24.62581,0,24.730314254760746
2016-08-08,24.898703,0,24.935096740722656
2016-08-09,25.145052,0,25.036333084106445
2016-08-10,25.31281,0,24.849964141845703
2016-08-11,25.284004,0,24.83385467529297
2016-08-12,25.249493,0,24.89137840270996
2016-08-15,25.26488,0,25.19050407409668
2016-08-16,25.438644,0,25.1674861907959
2016-08-17,25.516941,0,25.130674362182617
2016-08-18,25.527023,0,25.098464965820312
2016-08-19,25.509819,0,25.16288375854492
2016-08-22,25.535368,0,24.967309951782227
2016-08-23,25.44343,0,25.0455379486084
2016-08-24,25.436024,0,24.85686683654785
2016-08-25,25.335257,0,24.751022338867188
2016-08-26,25.224874,0,24.60606575012207
2016-08-29,25.094122,0,24.578453063964844
2016-08-30,25.0172,0,24.3897762298584
2016-08-31,24.882122,0,24.412792205810547
2016-09-01,24.82827,0,24.557741165161133
2016-09-02,24.88751,0,24.78783798217773
2016-09-06,25.047573,0,24.78093147277832
2016-09-07,25.124235,0,24.93279457092285
2016-09-08,25.236994,0,24.27933692932129
2016-09-09,24.935135,0,23.72941780090332
2016-09-12,24.468754,0,24.26092529296875
2016-09-13,24.532217,0,24.838457107543945
2016-09-14,24.910908,0,25.717405319213867
2016-09-15,25.585722,0,26.591760635375977
2016-09-16,26.39374,0,26.442201614379883
2016-09-19,26.694532,0,26.13387107849121
2016-09-20,26.632868,0,26.131576538085938
2016-09-21,26.58018,0,26.12697410583496
2016-09-22,26.554598,0,26.37317276000977
2016-09-23,26.679388,0,25.933692932128903
2016-09-26,26.5076,0,25.972810745239254
2016-09-27,26.430494,0,26.02113151550293
2016-09-28,26.427502,0,26.219009399414062
2016-09-29,26.53892,0,25.81174659729004
2016-09-30,26.375774,0,26.011926651000977
2016-10-03,26.391642,0,25.889970779418945
2016-10-04,26.344076,0,26.00042724609375
2016-10-05,26.378164,0,26.011926651000977
2016-10-06,26.405458,0,26.2052059173584
2016-10-07,26.523,0,26.244319915771484
2016-10-10,26.604523,0,26.702205657958984
2016-10-11,26.889599,0,26.759727478027344
2016-10-12,27.066067,0,26.999021530151367
2016-10-13,27.27124,0,26.91619300842285
2016-10-14,27.322994,0,27.065752029418945
2016-10-17,27.418797,0,27.04734230041504
2016-10-18,27.4562,0,27.028932571411133
2016-10-19,27.45995,0,26.94840431213379
2016-10-20,27.41582,0,26.934595108032227
2016-10-21,27.384968,0,26.828754425048828
2016-10-24,27.31398,0,27.07035446166992
2016-10-25,27.410393,0,27.20841407775879
2016-10-26,27.54116,0,26.596363067626957
2016-10-27,27.27007,0,26.340959548950195
2016-10-28,26.979355,0,26.166088104248047
2016-10-31,26.748293,0,26.12467384338379
2016-11-01,26.622675,0,25.652976989746094
2016-11-02,26.314018,0,25.67599296569824
2016-11-03,26.171665,0,25.400781631469727
2016-11-04,25.966228,0,25.17181396484375
2016-11-07,25.7419,0,25.534914016723636
2016-11-08,25.834553,0,25.68523979187012
2016-11-09,25.979605,0,25.643613815307617
2016-11-10,26.027052,0,24.92898178100586
2016-11-11,25.65268,0,25.076993942260746
2016-11-14,25.532715,0,24.447925567626957
2016-11-15,25.150625,0,24.771709442138672
2016-11-16,25.133295,0,25.437780380249023
2016-11-17,25.511988,0,25.42852783203125
2016-11-18,25.707546,0,25.45397186279297
2016-11-21,25.799725,0,25.8402042388916
2016-11-22,26.046177,0,25.856388092041016
2016-11-23,26.179083,0,25.72456359863281
2016-11-25,26.161446,0,25.854066848754883
2016-11-28,26.21437,0,25.803186416625977
2016-11-29,26.215927,0,25.777751922607425
2016-11-30,26.199665,0,25.56035614013672
2016-12-01,26.0726,0,25.322145462036133
