Price,Close,RegimeCode
Ticker,MSFT,0
Date,,0
2020-01-02,153.3232421875,-1
2020-01-03,151.4141082763672,-1
2020-01-06,151.8054962158203,-1
2020-01-07,150.42135620117188,-1
2020-01-08,152.8173065185547,-1
2020-01-09,154.7264862060547,-1
2020-01-10,154.01055908203125,-1
2020-01-13,155.86241149902344,-1
2020-01-14,154.76466369628906,-1
2020-01-15,155.76699829101562,-1
2020-01-16,158.6211395263672,-1
2020-01-17,159.50889587402344,-1
2020-01-21,158.9361572265625,-1
2020-01-22,158.17250061035156,-1
2020-01-23,159.14614868164062,-1
2020-01-24,157.54248046875,-1
2020-01-27,154.9078369140625,-1
2020-01-28,157.94338989257812,-1
2020-01-29,160.40615844726562,-1
2020-01-30,164.93084716796875,-1
2020-01-31,162.49668884277344,-1
2020-02-03,166.4581756591797,-1
2020-02-04,171.93743896484375,-1
2020-02-05,171.72738647460938,-1
2020-02-06,175.28794860839844,-1
2020-02-07,175.53614807128906,-1
2020-02-10,180.1276397705078,-1
2020-02-11,176.06114196777344,-1
2020-02-12,176.3188934326172,-1
2020-02-13,175.3643035888672,-1
2020-02-14,176.92982482910156,-1
2020-02-18,178.72442626953125,-1
2020-02-19,179.26043701171875,-1
2020-02-20,176.5229034423828,-1
2020-02-21,170.94256591796875,-1
2020-02-24,163.57228088378906,-1
2020-02-25,160.8730010986328,-1
2020-02-26,162.88308715820312,-1
2020-02-27,151.40650939941406,-1
2020-02-28,155.072509765625,-1
2020-03-02,165.39093017578125,-1
2020-03-03,157.46548461914062,-1
2020-03-04,163.24685668945312,-1
2020-03-05,159.15013122558594,-1
2020-03-06,154.6513671875,-1
2020-03-09,144.1702423095703,-1
2020-03-10,154.02919006347656,-1
2020-03-11,147.05137634277344,-1
2020-03-12,133.105224609375,-1
2020-03-13,152.0286865234375,-1
2020-03-16,129.62110900878906,-1
2020-03-17,140.29367065429688,-1
2020-03-18,134.3878936767578,-1
2020-03-19,136.5989990234375,-1
2020-03-20,131.46849060058594,-1
2020-03-23,130.1571807861328,-1
2020-03-24,141.98789978027344,-1
2020-03-25,140.62869262695312,-1
2020-03-26,149.42518615722656,-1
2020-03-27,143.2896270751953,-1
2020-03-30,153.36874389648438,-1
2020-03-31,150.9566192626953,-1
2020-04-01,145.59646606445312,-1
2020-04-02,148.61158752441406,-1
2020-04-03,147.24276733398438,-1
